Rk,Player,Age
1,Justin Abdelkader\abdelju01,30
2,Pontus Aberg\abergpo01,24
2,Pontus Aberg\abergpo01,24
2,Pontus Aberg\abergpo01,24
3,Noel Acciari\acciano01,26
4,Kenny Agostino\agostke01,25
5,Sebastian Aho\ahose01,20
6,Sebastian Aho\ahose02,21
7,Mark Alt\altma01,26
7,Mark Alt\altma01,26
7,Mark Alt\altma01,26
8,Karl Alzner\alzneka01,29
9,Michael Amadio\amadimi01,21
10,Josh Anderson\anderjo05,23
11,Lias Andersson\anderli01,19
12,Rasmus Andersson\anderra01,21
13,Andy Andreoff\andrean01,26
14,Sven Andrighetto\andrisv01,24
15,Artem Anisimov\anisiar01,29
16,Victor Antipin\antipvi01,25
17,Darren Archibald\archida02,27
18,Josh Archibald\archijo01,25
18,Josh Archibald\archijo01,25
18,Josh Archibald\archijo01,25
19,Joel Armia\armiajo01,24
20,Viktor Arvidsson\arvidvi01,24
21,Zach Aston-Reese\astonza01,23
22,Andreas Athanasiou\athanan01,23
23,Cam Atkinson\atkinca01,28
24,Justin Auger\augerju01,23
25,Yohann Auvitu\auvityo01,28
26,David Backes\backeda01,33
27,Mikael Backlund\backlmi01,28
28,Nicklas Backstrom\backsni02,30
29,Sven Baertschi\baertsv01,25
30,Josh Bailey\bailejo01,28
31,Justin Bailey\baileju01,22
32,Chase Balisy\balisch01,25
33,Nicholas Baptiste\baptini01,22
34,Ivan Barbashev\barbaiv01,22
35,Mark Barberio\barbema01,27
36,Aleksander Barkov\barkoal01,22
37,Tyson Barrie\barrity01,26
38,Matt Bartkowski\bartkma01,29
39,Mathew Barzal\barzama01,20
40,Jay Beagle\beaglja01,32
41,Ethan Bear\bearet01,20
42,Francois Beauchemin\beaucfr01,37
43,Nathan Beaulieu\beaulna01,25
44,Anthony Beauvillier\beauvan01,20
45,Matt Beleskey\belesma01,29
45,Matt Beleskey\belesma01,29
45,Matt Beleskey\belesma01,29
46,Pierre-Edouard Bellemare\bellepi01,32
47,Louis Belpedio\belpelo01,21
48,Jamie Benn\bennja01,28
49,Jordie Benn\bennjo01,30
50,Beau Bennett\bennebe01,26
51,Sam Bennett\bennesa01,21
52,Matt Benning\bennima01,23
53,Patrice Bergeron\bergepa01,32
54,Patrik Berglund\berglpa01,29
55,Steve Bernier\bernist01,32
56,Christoph Bertschy\bertsch02,23
57,Tyler Bertuzzi\bertuty01,22
58,Alex Biega\biegaal01,29
59,Kevin Bieksa\biekske01,36
60,Chris Bigras\bigrach01,22
61,Anthony Bitetto\bitetan01,27
62,Anders Bjork\bjorkan01,21
63,Oliver Bjorkstrand\bjorkol01,22
64,Nick Bjugstad\bjugsni01,25
65,Samuel Blais\blaissa01,21
66,Joseph Blandisi\blandjo01,23
67,Anton Blidh\blidhan01,22
68,Mike Blunden\blundmi01,31
69,Mikkel Boedker\boedkmi01,28
70,Brock Boeser\boesebr01,20
71,Zach Bogosian\bogosza01,27
72,Jared Boll\bollja01,31
73,Nick Bonino\boninni01,29
74,David Booth\boothda01,33
75,Andreas Borgman\borgman01,22
76,Henrik Borgström\borgshe01,20
77,Mark Borowiecki\borowma01,28
78,Robert Bortuzzo\borturo01,28
79,Reid Boucher\bouchre01,24
80,Lance Bouma\boumala01,27
81,Michael Bournival\bournmi01,25
82,Gabriel Bourque\bourqga01,27
83,Jay Bouwmeester\bouwmja01,34
84,Madison Bowey\boweyma01,22
85,Johnny Boychuk\boychjo01,34
86,Travis Boyd\boydtr01,24
87,Brian Boyle\boylebr01,33
88,Tyler Bozak\bozakty01,31
89,Derick Brassard\brassde01,30
